origin_time,stop_time,stop_id,stop_name
2020-08-05 12:33:00,2020-08-05 12:33:30,142N,South Ferry
2020-08-05 12:33:00,2020-08-05 12:36:00,139N,Rector St
2020-08-05 12:33:00,2020-08-05 12:37:00,138N,Cortlandt St
2020-08-05 12:33:00,2020-08-05 12:38:00,137N,Chambers St
2020-08-05 12:33:00,2020-08-05 12:39:00,136N,Franklin St
2020-08-05 12:33:00,2020-08-05 12:40:00,135N,Canal St
2020-08-05 12:33:00,2020-08-05 12:42:00,134N,Houston St
2020-08-05 12:33:00,2020-08-05 12:43:30,133N,Christopher St - Sheridan Sq
2020-08-05 12:33:00,2020-08-05 12:45:00,132N,14 St
2020-08-05 12:33:00,2020-08-05 12:46:00,131N,18 St
2020-08-05 12:33:00,2020-08-05 12:47:00,130N,23 St
2020-08-05 12:33:00,2020-08-05 12:48:00,129N,28 St
2020-08-05 12:33:00,2020-08-05 12:49:00,128N,34 St - Penn Station
2020-08-05 12:33:00,2020-08-05 12:50:30,127N,Times Sq - 42 St
2020-08-05 12:33:00,2020-08-05 12:52:30,126N,50 St
2020-08-05 12:33:00,2020-08-05 12:54:30,125N,59 St - Columbus Circle
2020-08-05 12:33:00,2020-08-05 12:56:00,124N,66 St - Lincoln Center
2020-08-05 12:33:00,2020-08-05 12:57:00,123N,72 St
2020-08-05 12:33:00,2020-08-05 12:59:00,122N,79 St
2020-08-05 12:33:00,2020-08-05 13:00:00,121N,86 St
2020-08-05 12:33:00,2020-08-05 13:02:00,120N,96 St
2020-08-05 12:33:00,2020-08-05 13:03:30,119N,103 St
2020-08-05 12:33:00,2020-08-05 13:05:00,118N,Cathedral Pkwy (110 St)
2020-08-05 12:33:00,2020-08-05 13:06:00,117N,116 St - Columbia University
2020-08-05 12:33:00,2020-08-05 13:08:30,116N,125 St
2020-08-05 12:33:00,2020-08-05 13:10:30,115N,137 St - City College
2020-08-05 12:33:00,2020-08-05 13:12:00,114N,145 St
2020-08-05 12:33:00,2020-08-05 13:14:00,113N,157 St
2020-08-05 12:33:00,2020-08-05 13:15:30,112N,168 St - Washington Hts
2020-08-05 12:33:00,2020-08-05 13:17:30,111N,181 St
2020-08-05 12:33:00,2020-08-05 13:19:00,110N,191 St
2020-08-05 12:33:00,2020-08-05 13:20:00,109N,Dyckman St
2020-08-05 12:33:00,2020-08-05 13:21:30,108N,207 St
2020-08-05 12:33:00,2020-08-05 13:23:00,107N,215 St
2020-08-05 12:33:00,2020-08-05 13:24:30,106N,Marble Hill - 225 St
2020-08-05 12:33:00,2020-08-05 13:26:00,104N,231 St
2020-08-05 12:33:00,2020-08-05 13:27:30,103N,238 St
2020-08-05 12:33:00,2020-08-05 13:31:30,101N,Van Cortlandt Park - 242 St
